result,value,unit,source_file,source_variable,analysis,status,interpretation,limitation
2016 Total Built-Up Area,159.40,km²,data/processed/Chittoor_Master_Research_Dataset_2016_2025.csv,built_up_km2 (row 0),GEE Dynamic World Historical Extraction,Verified / Authoritative,Baseline urban footprint of Chittoor District in 2016.,"Derived from Dynamic World probability threshold (p >= 0.50), not cadastral survey."
2025 Total Built-Up Area,259.21,km²,data/processed/Chittoor_Master_Research_Dataset_2016_2025.csv,built_up_km2 (row 9),GEE Dynamic World Historical Extraction,Verified / Authoritative,Decadal urban footprint showing persistent expansion across the district.,Subject to sensor resolution (10 m) and spectral confusion with bare quarries.
Net Built-Up Increase (2016–2025),+99.81,km²,data/processed/Chittoor_Master_Research_Dataset_2016_2025.csv,built_up_km2 (2025 - 2016),Decadal Net Expansion Computation,Verified / Authoritative,Net anthropogenic land conversion over the 10-year period.,Net change; does not distinguish localized demolition from new infill.
Built-Up Percentage Increase (2016–2025),+62.62,%,data/processed/Chittoor_Master_Research_Dataset_2016_2025.csv,built_up_km2 ((2025-2016)/2016 * 100),Relative Growth Rate Computation,Verified / Authoritative,Significant relative expansion driven by transit corridor development.,Expressed relative to 2016 baseline.
Historical Built-Up Trend Rate,+11.09,km²/year,outputs/tables/forecast_model_comparison.csv,OLS regression slope,"OLS Linear Trend Regression (R² = 0.9600, p < 10^-6)",Verified / Authoritative,Average annual rate of secular urban expansion.,Assumes linear trajectory over the decadal observation window.
2026 Total Built-Up Forecast,270.32,km²,outputs/tables/builtup_forecast_2026.csv,point_forecast,OLS Linear Trend Extrapolation (1-year ahead),Verified / Authoritative,Estimated future built-up extent under continuation of historical trend.,Macroeconomic or policy shocks may alter expansion rate; 1-year horizon only.
2026 Built-Up 95% Prediction Interval,"[250.02, 290.62]",km²,outputs/tables/builtup_forecast_2026.csv,"lower_95, upper_95","Student's t Analytical Prediction Interval (df=8, margin: +/- 20.30 km²)",Verified / Authoritative,Statistically bounded uncertainty range for 2026 individual observation.,Captures model and observation variance; excludes unforeseen structural ruptures.
2025 Strong Built-Up Core,69.01,km²,data/processed/Chittoor_Master_Research_Dataset_2016_2025.csv,strong_built_up_km2 (row 9),Dynamic World High-Confidence Core Extraction,Verified / Authoritative,"Consolidated, dense urban core areas in 2025 (+89.1% since 2016).",Sensitive to probability threshold cutoff.
2026 Strong Built-Up Forecast,70.31,km²,outputs/tables/builtup_forecast_2026.csv,point_forecast (strong built-up),OLS Linear Trend Extrapolation (R² = 0.9698),Verified / Authoritative,"Projected dense urban core densification (95% PI: [64.75, 75.87] km²).",1-year horizon only.
NDVI Historical Series Range,0.284 to 0.457,dimensionless,data/processed/Chittoor_Master_Research_Dataset_2016_2025.csv,"NDVI (min 2019, max 2025)",Landsat/Sentinel-2 Annual Composite Extraction,Verified / Authoritative,Severe interannual swings driven by monsoon anomalies (2019 severe drought dip).,Non-monotonic; forecasting rejected due to stochastic climate confounding.
LST Historical Series Range,28.56 to 34.37,°C,data/processed/Chittoor_Master_Research_Dataset_2016_2025.csv,"LST_C (min 2025, max 2019)",MODIS Terra Daytime LST (MOD11A2),Verified / Authoritative,Negative association with built-up (r = -0.827) reflecting rainfall confounding.,"Association, not causation. Confounded by cloud masking and soil moisture."
Rainfall 10-Year Mean,1155.22,mm,data/processed/Chittoor_Master_Research_Dataset_2016_2025.csv,rainfall_mm,CHIRPS Pentad Cumulative Annual Sum,Verified / Authoritative,Climatological baseline spanning 753.08 mm (2016) to 1414.74 mm (2021).,Chaotic atmospheric process; 10 annual observations insufficient for forecasting.
Environmental Stress Grid Mean,0.2213,"dimensionless [0, 1]",outputs/tables/environmental_stress_grid_1km.csv,stress_score,"Decadal Multi-Source Spatial Integration (N = 6,902 cells)",Verified / Authoritative,District-wide baseline relative stress score.,"Relative screening indicator, not a regulatory risk classification."
Environmental Stress Grid Max,0.6771,"dimensionless [0, 1]",outputs/tables/environmental_stress_grid_1km.csv,stress_score (Rank 1: Cell C_052_166),Peak Compound Decadal Stress,Verified / Authoritative,"Highest compound pressure cell (C_urb=0.50, C_veg=1.00, C_wat=0.53).",Requires ground verification; not proof of structural disaster.
Total Valid 1 km Grid Cells,"6,902",cells,outputs/tables/environmental_stress_grid_1km.csv,cell_id count,Spatial Aggregation (100x100 native pixels),Verified / Authoritative,Complete geographic coverage meeting >= 50% valid data coverage.,Covers Sentinel-2 valid footprint; boundary cells trimmed.
Sentinel-2 Common Valid Footprint,"6,702.08",km²,data/metadata/sentinel2_change_detection_manifest.json,district_aggregate -> common_valid_pixels,"Geodesic Area Calculation (69,256,014 valid pixels)",Verified / Authoritative,High-confidence clear-sky observation area common to 2016 and 2025.,"Excludes cloud, shadow, and edge no-data pixels."
Dynamic World Decadal New Built-Up (Footprint),145.65,km²,data/metadata/integrated_spatial_change_manifest.json,dw_new_builtup (geodesic),Dynamic World Built-Up Transition within Valid Mask,Verified / Authoritative,New built-up land-cover transition within common-valid footprint.,"Classification transition evidence, not cadastral building permits."
Built-Up vs LST Statistical Test,"r = -0.8271, p = 0.0032","Pearson r, p-value",docs/research_log/06_statistical_analysis.md,Pearson correlation,Bivariate Correlation (N = 10 annual points),Verified / Authoritative,Statistically significant negative district-level association.,Non-causal; confounded by precipitation trend.
Spatial Autocorrelation (Moran's I),"I = +0.7131, z = 59.2","Moran's I, z-score",outputs/tables/spatial_statistical_validation.csv,"Moran_I (NDBI change, 1 km grid)",Global Spatial Autocorrelation Test (p < 0.0001),Verified / Authoritative,Strong spatial clustering of environmental change processes across Chittoor.,Requires spatial error handling; disproves pixel independence.
